entry,kegg,comp,name,chebi,uncharged_formula,formula,charge,external
C03838_[cyt],C03838,cyt,5'-Phosphoribosylglycinamide,18349,C7H15N2O8P,C7H14N2O8P,-1,False
C03885_[cyt],C03885,cyt,3-Nonaprenyl-4-hydroxybenzoate,18162,C52H78O3,C52H76O3,-2,False
C03892_PG_[cyt],C03892,cyt,Phosphatidylglycerophosphate,37393,C8H14O13P2R2,C8H11O13P2R2,-3,False
C03912_[cyt],C03912,cyt,(S)-1-Pyrroline-5-carboxylate,371,C5H7NO2,C5H6NO2,-1,False
C03939_[cyt],C03939,cyt,Acetyl-[acyl-carrier protein],17093,C2H3OSR,C2H3ORS,0,False
C03972_[cyt],C03972,cyt,"2,3,4,5-Tetrahydrodipicolinate",864,C7H9NO4,C7H7NO4,-2,False
C04006_[cyt],C04006,cyt,1D-myo-Inositol 3-phosphate,18169,C6H13O9P,-,-,False
C04039_[cyt],C04039,cyt,"2,3-Dihydroxy-3-methylbutanoate",15689,C5H10O4,C5H9O4,-1,False
C04046_DGDG_[cyt],C04046,cyt,"3-D-Glucosyl-1,2-diacylglycerol_DGDG",-,C11H16O10R2,-,-,False
C04046_MGDG_[cyt],C04046,cyt,"3-D-Glucosyl-1,2-diacylglycerol_MGDG",-,C11H16O10R2,-,-,False
C04088_[cyt],C04088,cyt,Octadecanoyl-[acyl-carrier protein],-,C18H35OSR,-,-,False
C04122_[cyt],C04122,cyt,D-1-Aminopropan-2-ol O-phosphate,28390,C3H10NO4P,C3H9NO4P,-1,False
C04133_[cyt],C04133,cyt,N-Acetyl-L-glutamate 5-phosphate,16878,C7H12NO8P,C7H9NO8P,-3,False
C04145_[cyt],C04145,cyt,all-trans-Nonaprenyl diphosphate,18144,C45H76O7P2,C45H74O7P2,-2,False
C04188_[cyt],C04188,cyt,S-Methyl-5-thio-D-ribose 1-phosphate,27859,C6H13O7PS,C6H11O7PS,-2,False
C04236_[cyt],C04236,cyt,(2S)-2-Isopropyl-3-oxosuccinate,1467,C7H10O5,C7H8O5,-2,False
C04246_[cyt],C04246,cyt,But-2-enoyl-[acyl-carrier protein],-,C4H5OSR,-,-,False
C04281_[cyt],C04281,cyt,L-1-Pyrroline-3-hydroxy-5-carboxylate,6151,C5H7NO3,C5H6NO3,-1,False
C04302_[cyt],C04302,cyt,N-(5-Phospho-D-ribosyl)anthranilate,7091,C12H16NO9P,C12H13NO9P,-3,False
C04327_[cyt],C04327,cyt,4-Methyl-5-(2-phosphoethyl)-thiazole,17857,C6H10NO4PS,C6H8NO4PS,-2,False
C04332_[cyt],C04332,cyt,"6,7-Dimethyl-8-(1-D-ribityl)lumazine",17601,C13H18N4O6,C13H17N4O6,-1,False
C04352_[cyt],C04352,cyt,(R)-4'-Phosphopantothenoyl-L-cysteine,15769,C12H23N2O9PS,C12H20N2O9PS,-3,False
C04376_[cyt],C04376,cyt,5'-Phosphoribosyl-N-formylglycinamide,18272,C8H15N2O9P,C8H13N2O9P,-2,False
C04411_[cyt],C04411,cyt,"(2R,3S)-3-Isopropylmalate",35121,C7H12O5,C7H10O5,-2,False
C04454_[cyt],C04454,cyt,5-Amino-6-(5'-phosphoribitylamino)uracil,18247,C9H17N4O9P,C9H15N4O9P,-2,False
C04501_[cyt],C04501,cyt,N-Acetyl-alpha-D-glucosamine 1-phosphate,16446,C8H16NO9P,C8H14NO9P,-2,False
C04536_[cyt],C04536,cyt,Magnesium protoporphyrin monomethyl ester,15432,C35H34MgN4O4,C35H34MgN4O4,0,False
C04556_[cyt],C04556,cyt,4-Amino-2-methyl-5-phosphomethylpyrimidine,18032,C6H10N3O4P,C6H8N3O4P,-2,False
C04574_[cyt],C04574,cyt,"di-trans,poly-cis-Undecaprenyl diphosphate",18197,C55H92O7P2,C55H90O7P2,-2,False
C04582_[cyt],C04582,cyt,S-Methyl-5-thio-D-ribulose 1-phosphate,28096,C6H13O7PS,C6H11O7PS,-2,False
C04582_[ext],C04582,ext,S-Methyl-5-thio-D-ribulose 1-phosphate,28096,C6H13O7PS,C6H11O7PS,-2,True
C04618_[cyt],C04618,cyt,(3R)-3-Hydroxybutanoyl-[acyl-carrier protein],-,C4H7O2SR,-,-,False
C04619_[cyt],C04619,cyt,(3R)-3-Hydroxydecanoyl-[acyl-carrier protein],-,C10H19O2SR,-,-,False
C04620_[cyt],C04620,cyt,(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein],-,C8H15O2SR,-,-,False
C04631_[cyt],C04631,cyt,UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine,16435,C20H29N3O19P2,C20H26N3O19P2,-3,False
C04633_[cyt],C04633,cyt,(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein],-,C16H31O2SR,-,-,False
C04640_[cyt],C04640,cyt,2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine,18413,C8H16N3O8P,C8H15N3O8P,-1,False
C04652_[cyt],C04652,cyt,"UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine",17787,C43H77N3O20P2,C43H75N3O20P2,-2,False
C04666_[cyt],C04666,cyt,D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate,17805,C6H11N2O6P,C6H9N2O6P,-2,False
C04677_[cyt],C04677,cyt,1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide,18406,C9H15N4O8P,C9H13N4O8P,-2,False
C04688_[cyt],C04688,cyt,(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein],-,C14H27O2SR,-,-,False
C04691_[cyt],C04691,cyt,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,18150,C7H13O10P,C7H10O10P,-3,False
C04732_[cyt],C04732,cyt,5-Amino-6-(1-D-ribitylamino)uracil,15934,C9H16N4O6,C9H16N4O6,0,False
C04734_[cyt],C04734,cyt,1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide,18381,C10H15N4O9P,C10H13N4O9P,-2,False
C04738_[cyt],C04738,cyt,UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine,28131,C31H53N3O19P2,C31H51N3O19P2,-2,False
C04751_[cyt],C04751,cyt,1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate,28413,C9H14N3O9P,C9H12N3O9P,-2,False
C04752_[cyt],C04752,cyt,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate,16629,C6H11N3O7P2,C6H9N3O7P2,-2,False
C04778_[cyt],C04778,cyt,"N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole",16837,C14H19N2O7P,C14H17N2O7P,-2,False
C04807_[cyt],C04807,cyt,"2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine",15998,C7H11N5O8P2,C7H9N5O8P2,-2,False
C04823_[cyt],C04823,cyt,1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole,18319,C13H19N4O12P,C13H15N4O12P,-4,False
C04824_[cyt],C04824,cyt,"2,3-Bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl 1-phosphate",16942,C34H66NO12P,C34H64NO12P,-2,False
C04874_[cyt],C04874,cyt,"2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-",17001,C9H13N5O4,C9H13N5O4,0,False
C04877_[cyt],C04877,cyt,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate",28639,C35H55N7O26P2,C35H51N7O26P2,-4,False
C04882_[cyt],C04882,cyt,UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine,18199,C41H65N9O28P2,C41H61N9O28P2,-4,False
C04895_[cyt],C04895,cyt,"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridinetriphosphate",18372,C9H16N5O13P3,C9H13N5O13P3,-3,False
C04896_[cyt],C04896,cyt,5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide,18302,C15H25N5O15P2,C15H21N5O15P2,-4,False
C04916_[cyt],C04916,cyt,N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide,27735,C15H25N5O15P2,C15H21N5O15P2,-4,False
C04932_[cyt],C04932,cyt,"2,3,2',3'-Tetrakis(3-hydroxytetradecanoyl)-D-glucosaminyl-1,6-beta-",18380,C68H129N2O20P,C68H127N2O20P,-2,False
C05125_[cyt],C05125,cyt,2-(alpha-Hydroxyethyl)thiamine diphosphate,978,C14H23N4O8P2S,C14H21N4O8P2S,-1,False
C05198_[cyt],C05198,cyt,5'-Deoxyadenosine,17319,C10H13N5O3,C10H13N5O3,0,False
C05223_[cyt],C05223,cyt,Dodecanoyl-[acyl-carrier protein],16759,C12H23OSR,C12H23ORS,0,False
C05306_[cyt],C05306,cyt,Chlorophyll a,18230,C55H72MgN4O5,C55H71MgN4O5,-1,False
C05382_[cyt],C05382,cyt,Sedoheptulose 7-phosphate,15721,C7H15O10P,C7H13O10P,-2,False
C05413_[cyt],C05413,cyt,Phytoene,8191,C40H64,C40H64,0,False
C05414_[cyt],C05414,cyt,Phytofluene,28129,C40H62,C40H62,0,False
C05427_[cyt],C05427,cyt,Phytyl diphosphate,18187,C20H42O7P2,C20H40O7P2,-2,False
C05430_[cyt],C05430,cyt,zeta-Carotene,28068,C40H60,C40H60,0,False
C05431_[cyt],C05431,cyt,Neurosporene,16833,C40H58,C40H58,0,False
C05432_[cyt],C05432,cyt,Lycopene,15948,C40H56,C40H56,0,False
C05435_[cyt],C05435,cyt,gamma-Carotene,27740,C40H56,C40H56,0,False
C05744_[cyt],C05744,cyt,Acetoacetyl-[acp],2393,C4H5O2SR,C4H5O2RS,0,False
C05745_[cyt],C05745,cyt,Butyryl-[acp],-,C4H7OSR,-,-,False
C05746_[cyt],C05746,cyt,3-Oxohexanoyl-[acp],-,C6H9O2SR,-,-,False
