entry,kegg,comp,name,chebi,uncharged_formula,formula,charge,external
B0_[ext],-,ext,Biomass,-,R,-,-,True
B1_[cyt],-,cyt,Protein component of biomass,-,R,-,-,False
B2_[cyt],-,cyt,DNA component of biomass,-,R,-,-,False
B3_[cyt],-,cyt,RNA component of biomass,-,R,-,-,False
B4_[cyt],-,cyt,Cell wall component of biomass,-,R,-,-,False
B5_[cyt],-,cyt,Lipid component of biomass,-,R,-,-,False
B6_[cyt],-,cyt,Soluble pool component of biomass,-,R,-,-,False
B7_[cyt],-,cyt,inorganic Ion component of biomass,-,R,-,-,False
B8_[cyt],-,cyt,Pigment component of biomass,-,R,-,-,False
C00001_[cax],C00001,cax,H2O,15377,H2O,H2O,0,False
C00001_[cyt],C00001,cyt,H2O,15377,H2O,H2O,0,False
C00001_[ext],C00001,ext,H2O,15377,H2O,H2O,0,True
C00001_[pps],C00001,pps,H2O,15377,H2O,H2O,0,False
C00001_[tll],C00001,tll,H2O,15377,H2O,H2O,0,False
C00002_[cyt],C00002,cyt,ATP,15422,C10H16N5O13P3,C10H13N5O13P3,-3,False
C00003_[cyt],C00003,cyt,NAD+,15846,C21H28N7O14P2,C21H26N7O14P2,-1,False
C00004_[cyt],C00004,cyt,NADH,16908,C21H29N7O14P2,C21H27N7O14P2,-2,False
C00005_[cyt],C00005,cyt,NADPH,16474,C21H30N7O17P3,C21H26N7O17P3,-4,False
C00006_[cyt],C00006,cyt,NADP+,18009,C21H29N7O17P3,C21H25N7O17P3,-3,False
C00007_[cax],C00007,cax,Oxygen,15379,O2,O2,0,False
C00007_[cyt],C00007,cyt,Oxygen,15379,O2,O2,0,False
C00007_[ext],C00007,ext,Oxygen,15379,O2,O2,0,True
C00007_[pps],C00007,pps,Oxygen,15379,O2,O2,0,False
C00007_[tll],C00007,tll,Oxygen,15379,O2,O2,0,False
C00008_[cyt],C00008,cyt,ADP,16761,C10H15N5O10P2,C10H13N5O10P2,-2,False
C00009_[cyt],C00009,cyt,Orthophosphate,18367,H3PO4,HO4P,-2,False
C00009_[ext],C00009,ext,Orthophosphate,18367,H3PO4,HO4P,-2,True
C00010_[cyt],C00010,cyt,CoA,15346,C21H36N7O16P3S,C21H32N7O16P3S,-4,False
C00011_[cax],C00011,cax,CO2,16526,CO2,CO2,0,False
C00011_[cyt],C00011,cyt,CO2,16526,CO2,CO2,0,False
C00011_[ext],C00011,ext,CO2,16526,CO2,CO2,0,True
C00011_[pps],C00011,pps,CO2,16526,CO2,CO2,0,False
C00011_[tll],C00011,tll,CO2,16526,CO2,CO2,0,False
C00013_[cyt],C00013,cyt,Diphosphate,29888,P2H4O7,HO7P2,-3,False
C00014_[cyt],C00014,cyt,NH3,16134,NH3,H4N,1,False
C00015_[cyt],C00015,cyt,UDP,17659,C9H14N2O12P2,C9H12N2O12P2,-2,False
C00016_[cyt],C00016,cyt,FAD,16238,C27H33N9O15P2,C27H30N9O15P2,-3,False
C00018_[cyt],C00018,cyt,Pyridoxal phosphate,18405,C8H10NO6P,C8H8NO6P,-2,False
C00019_[cyt],C00019,cyt,S-Adenosyl-L-methionine,15414,C15H22N6O5S,C15H23N6O5S,1,False
C00020_[cyt],C00020,cyt,AMP,16027,C10H14N5O7P,C10H12N5O7P,-2,False
C00021_[cyt],C00021,cyt,S-Adenosyl-L-homocysteine,16680,C14H20N6O5S,C14H20N6O5S,0,False
C00022_[cyt],C00022,cyt,Pyruvate,32816,C3H4O3,C3H3O3,-1,False
C00024_[cyt],C00024,cyt,Acetyl-CoA,15351,C23H38N7O17P3S,C23H34N7O17P3S,-4,False
C00025_[cyt],C00025,cyt,L-Glutamate,16015,C5H9NO4,C5H8NO4,-1,False
C00025_[ext],C00025,ext,L-Glutamate,16015,C5H9NO4,C5H8NO4,-1,True
C00026_[cyt],C00026,cyt,2-Oxoglutarate,30915,C5H6O5,C5H4O5,-2,False
C00027_[cyt],C00027,cyt,H2O2,16240,H2O2,H2O2,0,False
C00029_[cyt],C00029,cyt,UDP-glucose,18066,C15H24N2O17P2,C15H22N2O17P2,-2,False
C00031_[cyt],C00031,cyt,D-Glucose,4167,C6H12O6,C6H12O6,0,False
C00031_[ext],C00031,ext,D-Glucose,4167,C6H12O6,C6H12O6,0,True
C00032_[cyt],C00032,cyt,Heme,17627,C34H32FeN4O4,C34FeH32N4O4,0,False
C00033_[cyt],C00033,cyt,Acetate,15366,C2H4O2,C2H3O2,-1,False
C00034_[cyt],C00034,cyt,Manganese,18291,Mn,Mn,0,False
C00034_[ext],C00034,ext,Manganese,18291,Mn,Mn,0,True
C00035_[cyt],C00035,cyt,GDP,17552,C10H15N5O11P2,C10H13N5O11P2,-2,False
C00036_[cyt],C00036,cyt,Oxaloacetate,30744,C4H4O5,C4H2O5,-2,False
C00037_[cyt],C00037,cyt,Glycine,15428,C2H5NO2,C2H5NO2,0,False
C00038_[cyt],C00038,cyt,Zinc,29105,Zn,Zn,2,False
C00038_[ext],C00038,ext,Zinc,29105,Zn,Zn,2,True
C00041_[cyt],C00041,cyt,L-Alanine,16977,C3H7NO2,C3H7NO2,0,False
C00042_[cyt],C00042,cyt,Succinate,15741,C4H6O4,C4H4O4,-2,False
C00043_[cyt],C00043,cyt,UDP-N-acetyl-D-glucosamine,16264,C17H27N3O17P2,C17H25N3O17P2,-2,False
C00044_[cyt],C00044,cyt,GTP,15996,C10H16N5O14P3,C10H13N5O14P3,-3,False
C00047_[cyt],C00047,cyt,L-Lysine,18019,C6H14N2O2,C6H15N2O2,1,False
C00048_[cyt],C00048,cyt,Glyoxylate,16891,C2H2O3,C2HO3,-1,False
C00049_[cyt],C00049,cyt,L-Aspartate,17053,C4H7NO4,C4H6NO4,-1,False
C00051_[cyt],C00051,cyt,Glutathione,16856,C10H17N3O6S,C10H16N3O6S,-1,False
C00052_[cyt],C00052,cyt,UDP-D-galactose,18307,C15H24N2O17P2,C15H22N2O17P2,-2,False
C00053_[cyt],C00053,cyt,3'-Phosphoadenylyl sulfate,17980,C10H15N5O13P2S,C10H11N5O13P2S,-4,False
C00054_[cyt],C00054,cyt,"Adenosine 3',5'-bisphosphate",17985,C10H15N5O10P2,C10H11N5O10P2,-4,False
C00055_[cyt],C00055,cyt,CMP,17361,C9H14N3O8P,C9H12N3O8P,-2,False
C00058_[cyt],C00058,cyt,Formate,30751,CH2O2,CHO2,-1,False
C00059_[cyt],C00059,cyt,Sulfate,16189,H2SO4,O4S,-2,False
C00059_[ext],C00059,ext,Sulfate,16189,H2SO4,O4S,-2,True
C00061_[cyt],C00061,cyt,FMN,17621,C17H21N4O9P,C17H18N4O9P,-3,False
C00062_[cyt],C00062,cyt,L-Arginine,16467,C6H14N4O2,C6H15N4O2,1,False
C00062_[ext],C00062,ext,L-Arginine,16467,C6H14N4O2,C6H15N4O2,1,True
C00063_[cyt],C00063,cyt,CTP,17677,C9H16N3O14P3,C9H13N3O14P3,-3,False
C00064_[cyt],C00064,cyt,L-Glutamine,18050,C5H10N2O3,C5H10N2O3,0,False
C00064_[ext],C00064,ext,L-Glutamine,18050,C5H10N2O3,C5H10N2O3,0,True
C00065_[cyt],C00065,cyt,L-Serine,17115,C3H7NO3,C3H7NO3,0,False
C00068_[cyt],C00068,cyt,Thiamin diphosphate,9532,C12H19N4O7P2S,C12H17N4O7P2S,-1,False
C00070_[cyt],C00070,cyt,Copper,28694,Cu,Cu,0,False
C00070_[ext],C00070,ext,Copper,28694,Cu,Cu,0,True
C00073_[cyt],C00073,cyt,L-Methionine,16643,C5H11NO2S,C5H11NO2S,0,False
C00074_[cyt],C00074,cyt,Phosphoenolpyruvate,44897,C3H5O6P,C3H2O6P,-3,False
C00075_[cyt],C00075,cyt,UTP,15713,C9H15N2O15P3,C9H12N2O15P3,-3,False
C00076_[cyt],C00076,cyt,Calcium,29108,Ca,Ca,2,False
C00076_[ext],C00076,ext,Calcium,29108,Ca,Ca,2,True
C00077_[cyt],C00077,cyt,L-Ornithine,15729,C5H12N2O2,C5H13N2O2,1,False
C00078_[cyt],C00078,cyt,L-Tryptophan,16828,C11H12N2O2,C11H12N2O2,0,False
C00079_[cyt],C00079,cyt,L-Phenylalanine,17295,C9H11NO2,C9H11NO2,0,False
C00080_[cax],C00080,cax,H+,15378,H,H,1,False
C00080_[cyt],C00080,cyt,H+,15378,H,H,1,False
C00080_[ext],C00080,ext,H+,15378,H,H,1,True
C00080_[pps],C00080,pps,H+,15378,H,H,1,False
C00080_[tll],C00080,tll,H+,15378,H,H,1,False
C00082_[cyt],C00082,cyt,L-Tyrosine,17895,C9H11NO3,C9H11NO3,0,False
C00083_[cyt],C00083,cyt,Malonyl-CoA,1553,C24H38N7O19P3S,C3H5O3,-1,False
C00084_[cyt],C00084,cyt,Acetaldehyde,15343,C2H4O,C2H4O,0,False
C00085_[cyt],C00085,cyt,D-Fructose 6-phosphate,15946,C6H13O9P,C6H11O9P,-2,False
C00086_[cyt],C00086,cyt,Urea,16199,CH4N2O,CH4N2O,0,False
C00086_[ext],C00086,ext,Urea,16199,CH4N2O,CH4N2O,0,True
C00088_[cyt],C00088,cyt,Nitrite,16301,NO2-,NO2,-1,False
C00089_[cyt],C00089,cyt,Sucrose,17992,C12H22O11,C12H22O11,0,False
C00091_[cyt],C00091,cyt,Succinyl-CoA,15380,C25H40N7O19P3S,C25H35N7O19P3S,-5,False
C00092_[cyt],C00092,cyt,D-Glucose 6-phosphate,4170,C6H13O9P,C6H11O9P,-2,False
C00093_[cyt],C00093,cyt,sn-Glycerol 3-phosphate,15978,C3H9O6P,C3H7O6P,-2,False
C00094_[cyt],C00094,cyt,Sulfite,48854,H2SO3,HO3S,-1,False
C00095_[cyt],C00095,cyt,D-Fructose,15824,C6H12O6,C6H11O9P,-2,False
C00096_[cyt],C00096,cyt,GDP-mannose,15820,C16H25N5O16P2,C16H23N5O16P2,-2,False
C00097_[cyt],C00097,cyt,L-Cysteine,17561,C3H7NO2S,C3H7NO2S,0,False
C00099_[cyt],C00099,cyt,beta-Alanine,16958,C3H7NO2,C3H7NO2,0,False
C00101_[cyt],C00101,cyt,Tetrahydrofolate,15635,C19H23N7O6,C19H21N7O6,-2,False
C00103_[cyt],C00103,cyt,D-Glucose 1-phosphate,16077,C6H13O9P,C6H11O9P,-2,False
C00105_[cyt],C00105,cyt,UMP,16695,C9H13N2O9P,C9H11N2O9P,-2,False
C00108_[cyt],C00108,cyt,Anthranilate,30754,C7H7NO2,C7H6NO2,-1,False
C00109_[cyt],C00109,cyt,2-Oxobutanoate,30831,C4H6O3,C4H5O3,-1,False
C00111_[cyt],C00111,cyt,Glycerone phosphate,16108,C3H7O6P,C3H5O6P,-2,False
C00112_[cyt],C00112,cyt,CDP,17239,C9H15N3O11P2,C9H13N3O11P2,-2,False
C00116_[cyt],C00116,cyt,Glycerol,17754,C3H8O3,C3H8O3,0,False
C00117_[cyt],C00117,cyt,D-Ribose 5-phosphate,17797,C5H11O8P,C5H9O8P,-2,False
C00118_[cyt],C00118,cyt,D-Glyceraldehyde 3-phosphate,29052,C3H7O6P,C3H5O6P,-2,False
C00119_[cyt],C00119,cyt,5-Phospho-alpha-D-ribose 1-diphosphate,17111,C5H13O14P3,C5H9O14P3,-4,False
C00122_[cyt],C00122,cyt,Fumarate,18012,C4H4O4,C4H2O4,-2,False
C00123_[cyt],C00123,cyt,L-Leucine,15603,C6H13NO2,C6H13NO2,0,False
C00127_[cyt],C00127,cyt,Glutathione disulfide,17858,C20H32N6O12S2,C20H30N6O12S2,-2,False
C00129_[cyt],C00129,cyt,Isopentenyl diphosphate,16584,C5H12O7P2,C5H10O7P2,-2,False
C00130_[cyt],C00130,cyt,IMP,17202,C10H13N4O8P,C10H11N4O8P,-2,False
C00131_[cyt],C00131,cyt,dATP,16284,C10H16N5O12P3,C10H13N5O12P3,-3,False
C00133_[cyt],C00133,cyt,D-Alanine,15570,C3H7NO2,C3H7NO2,0,False
C00134_[cyt],C00134,cyt,Putrescine,17148,C4H12N2,C4H14N2,2,False
C00134_[ext],C00134,ext,Putrescine,17148,C4H12N2,C4H14N2,2,True
C00135_[cyt],C00135,cyt,L-Histidine,15971,C6H9N3O2,C6H9N3O2,0,False
C00135_[ext],C00135,ext,L-Histidine,15971,C6H9N3O2,C6H9N3O2,0,True
C00137_[cyt],C00137,cyt,myo-Inositol,17268,C6H12O6,C6H12O6,0,False
C00138_[cyt],C00138,cyt,Reduced ferredoxin,17513,R,-,-,False
C00139_[cyt],C00139,cyt,Oxidized ferredoxin,17908,R,-,-,False
C00141_[cyt],C00141,cyt,3-Methyl-2-oxobutanoic acid,16530,C5H8O3,C5H7O3,-1,False
C00143_[cyt],C00143,cyt,"5,10-Methylenetetrahydrofolate",1989,C20H23N7O6,C20H21N7O6,-2,False
C00144_[cyt],C00144,cyt,GMP,17345,C10H14N5O8P,C10H12N5O8P,-2,False
C00147_[cyt],C00147,cyt,Adenine,16708,C5H5N5,C5H5N5,0,False
C00148_[cyt],C00148,cyt,L-Proline,17203,C5H9NO2,C5H9NO2,0,False
C00149_[cyt],C00149,cyt,(S)-Malate,30797,C4H6O5,C4H4O5,-2,False
C00152_[cyt],C00152,cyt,L-Asparagine,17196,C4H8N2O3,C4H8N2O3,0,False
C00155_[cyt],C00155,cyt,L-Homocysteine,17588,C4H9NO2S,C4H9NO2S,0,False
C00156_[cyt],C00156,cyt,4-Hydroxybenzoate,30763,C7H6O3,C7H6O3,0,False
C00158_[cyt],C00158,cyt,Citrate,30769,C6H8O7,C6H5O7,-3,False
C00160_[cyt],C00160,cyt,Glycolate,17497,C2H4O3,C2H3O3,-1,False
C00166_[cyt],C00166,cyt,Phenylpyruvate,30851,C9H8O3,C9H7O3,-1,False
C00168_[cyt],C00168,cyt,Hydroxypyruvate,30841,C3H4O4,C3H3O4,-1,False
C00169_[cyt],C00169,cyt,Carbamoyl phosphate,17672,CH4NO5P,CH2NO5P,-2,False
C00170_[cyt],C00170,cyt,5'-Methylthioadenosine,17509,C11H15N5O3S,C11H15N5O3S,0,False
C00175_[cyt],C00175,cyt,Cobalt ion,27638,Co,Co,0,False
C00175_[ext],C00175,ext,Cobalt ion,27638,Co,Co,0,True
C00179_[cyt],C00179,cyt,Agmatine,17431,C5H14N4,C5H16N4,2,False
C00182_[cyt],C00182,cyt,Glycogen,28087,C6H10O5R,-,-,False
C00182N_[cyt],C00182N,cyt,Glycogen granule,-,R,-,-,True
C00183_[cyt],C00183,cyt,L-Valine,16414,C5H11NO2,C5H11NO2,0,False
C00188_[cyt],C00188,cyt,L-Threonine,16857,C4H9NO3,C4H9NO3,0,False
C00194_[cyt],C00194,cyt,Cobamide coenzyme,18408,C72H100CoN18O17P,C72CoH101N18O17P,0,False
C00197_[cax],C00197,cax,3-Phospho-D-glycerate,17794,C3H7O7P,C3H4O7P,-3,False
C00197_[cyt],C00197,cyt,3-Phospho-D-glycerate,17794,C3H7O7P,C3H4O7P,-3,False
C00199_[cyt],C00199,cyt,D-Ribulose 5-phosphate,17363,C5H11O8P,C5H9O8P,-2,False
C00206_[cyt],C00206,cyt,dADP,16174,C10H15N5O9P2,C10H13N5O9P2,-2,False
C00209_[cyt],C00209,cyt,Oxalate,16995,C2H2O4,C2O4,-2,False
C00212_[cyt],C00212,cyt,Adenosine,16335,C10H13N5O4,C10H13N5O4,0,False
C00217_[cyt],C00217,cyt,D-Glutamate,15966,C5H9NO4,C5H8NO4,-1,False
C00224_[cyt],C00224,cyt,Adenylyl sulfate,17709,C10H14N5O10PS,C10H12N5O10PS,-2,False
C00227_[cyt],C00227,cyt,Acetyl phosphate,15350,C2H5O5P,C2H3O5P,-2,False
C00229_[cyt],C00229,cyt,Acyl-carrier protein,18359,HSR,-,-,False
C00231_[cyt],C00231,cyt,D-Xylulose 5-phosphate,16332,C5H11O8P,C5H9O8P,-2,False
C00232_[cyt],C00232,cyt,Succinate semialdehyde,16265,C4H6O3,C4H5O3,-1,False
C00233_[cyt],C00233,cyt,4-Methyl-2-oxopentanoate,48430,C6H10O3,C6H9O3,-1,False
C00234_[cyt],C00234,cyt,10-Formyltetrahydrofolate,15637,C20H23N7O7,C20H21N7O7,-2,False
C00235_[cyt],C00235,cyt,Dimethylallyl diphosphate,16057,C5H12O7P2,C5H10O7P2,-2,False
C00236_[cyt],C00236,cyt,3-Phospho-D-glyceroyl phosphate,16001,C3H8O10P2,C3H4O10P2,-4,False
C00237_[cyt],C00237,cyt,CO,17245,CO,CO,0,False
C00237_[ext],C00237,ext,CO,17245,CO,CO,0,True
C00238_[cyt],C00238,cyt,Potassium,29103,K,K,1,False
C00238_[ext],C00238,ext,Potassium,29103,K,K,1,True
C00244_[cyt],C00244,cyt,Nitrate,48107,NO3-,NO3,-1,False
C00244_[ext],C00244,ext,Nitrate,48107,NO3-,NO3,-1,True
C00251_[cyt],C00251,cyt,Chorismate,17333,C10H10O6,C10H8O6,-2,False
C00253_[cyt],C00253,cyt,Nicotinate,15940,C6H5NO2,C6H4NO2,-1,False
C00254_[cyt],C00254,cyt,Prephenate,16666,C10H10O6,C10H8O6,-2,False
C00255_[cyt],C00255,cyt,Riboflavin,17015,C17H20N4O6,C17H19N4O6,-1,False
C00256_[cyt],C00256,cyt,(R)-Lactate,42111,C3H6O3,C3H5O3,-1,False
C00258_[cyt],C00258,cyt,D-Glycerate,32398,C3H6O4,C3H5O4,-1,False
C00263_[cyt],C00263,cyt,L-Homoserine,15699,C4H9NO3,C4H9NO3,0,False
C00266_[cyt],C00266,cyt,Glycolaldehyde,17071,C2H4O2,C2H4O2,0,False
C00269_PG_[cyt],C00269_PG,cyt,CDP-diacylglycerol,17962,C14H19N3O15P2R2,C14H17N3O15P2R2,-2,False
C00275_[cyt],C00275,cyt,D-Mannose 6-phosphate,17369,C6H13O9P,C6H11O9P,-2,False
C00279_[cyt],C00279,cyt,D-Erythrose 4-phosphate,48153,C4H9O7P,C4H7O7P,-2,False
C00283_[cyt],C00283,cyt,Hydrogen sulfide,16136,H2S,HS,-1,False
C00286_[cyt],C00286,cyt,dGTP,16497,C10H16N5O13P3,C10H13N5O13P3,-3,False
C00288_[cax],C00288,cax,HCO3-,17544,HCO3,CHO3,-1,False
C00288_[cyt],C00288,cyt,HCO3-,17544,HCO3,CHO3,-1,False
C00288_[ext],C00288,ext,HCO3-,17544,HCO3,CHO3,-1,True
C00291_[cyt],C00291,cyt,Nickel,28112,Ni,Ni,0,False
C00291_[ext],C00291,ext,Nickel,28112,Ni,Ni,0,True
C00295_[cyt],C00295,cyt,Orotate,16742,C5H4N2O4,C5H3N2O4,-1,False
C00305_[cyt],C00305,cyt,Magnesium,18420,Mg,Mg,2,False
C00305_[ext],C00305,ext,Magnesium,18420,Mg,Mg,2,True
C00311_[cyt],C00311,cyt,Isocitrate,30887,C6H8O7,C6H5O7,-3,False
C00315_[cyt],C00315,cyt,Spermidine,16610,C7H19N3,C7H22N3,3,False
C00315_[ext],C00315,ext,Spermidine,16610,C7H19N3,C7H22N3,3,True
C00327_[cyt],C00327,cyt,L-Citrulline,16349,C6H13N3O3,C6H13N3O3,0,False
C00332_[cyt],C00332,cyt,Acetoacetyl-CoA,15345,C25H40N7O18P3S,C25H36N7O18P3S,-4,False
C00334_[cyt],C00334,cyt,4-Aminobutanoate,16865,C4H9NO2,C4H9NO2,0,False
C00337_[cyt],C00337,cyt,(S)-Dihydroorotate,17025,C5H6N2O4,C5H5N2O4,-1,False
C00341_[cyt],C00341,cyt,Geranyl diphosphate,17211,C10H20O7P2,C10H18O7P2,-2,False
C00342_[cyt],C00342,cyt,Thioredoxin,15967,C10H14N4O4S2R4,-,-,False
C00343_[cyt],C00343,cyt,Thioredoxin disulfide,18191,C10H12N4O4S2R4,-,-,False
C00344_PG_[cyt],C00344_PG,cyt,Phosphatidylglycerol,17517,C8H13O10PR2,C8H12910PR2,-1,False
C00345_[cyt],C00345,cyt,6-Phospho-D-gluconate,48928,C6H13O10P,C6H10O10P,-3,False
C00352_[cyt],C00352,cyt,D-Glucosamine 6-phosphate,15873,C6H14NO8P,C6H13NO8P,-1,False
C00353_[cyt],C00353,cyt,Geranylgeranyl diphosphate,48861,C20H36O7P2,C20H34O7P2,-2,False
C00354_[cyt],C00354,cyt,"D-Fructose 1,6-bisphosphate",16905,C6H14O12P2,C6H10O12P2,-4,False
C00360_[cyt],C00360,cyt,dAMP,17713,C10H14N5O6P,C10H12N5O6P,-2,False
C00361_[cyt],C00361,cyt,dGDP,28862,C10H15N5O10P2,C10H13N5O10P2,-2,False
C00363_[cyt],C00363,cyt,dTDP,18075,C10H16N2O11P2,C10H14N2O11P2,-2,False
C00364_[cyt],C00364,cyt,dTMP,17013,C10H15N2O8P,C10H13N2O8P,-2,False
C00365_[cyt],C00365,cyt,dUMP,17622,C9H13N2O8P,C9H11N2O8P,-2,False
C00407_[cyt],C00407,cyt,L-Isoleucine,17191,C6H13NO2,C6H13NO2,0,False
C00415_[cyt],C00415,cyt,Dihydrofolate,15633,C19H21N7O6,C19H19N7O6,-2,False
C00416_DGDG_[cyt],C00416,cyt,Phosphatidate_DGDG,16337,C5H7O8PR2,C5H5O8PR2,-2,False
C00416_MGDG_[cyt],C00416,cyt,Phosphatidate_MGDG,16337,C5H7O8PR2,C5H5O8PR2,-2,False
C00416_PG_[cyt],C00416,cyt,Phosphatidate_PG,16337,C5H7O8PR2,C5H5O8PR2,-2,False
C00416_SQDG_[cyt],C00416,cyt,Phosphatidate_SQDG,16337,C5H7O8PR2,C5H5O8PR2,-2,False
C00417_[cyt],C00417,cyt,cis-Aconitate,32805,C6H6O6,C6H3O6,-3,False
C00430_[cyt],C00430,cyt,5-Aminolevulinate,17549,C5H9NO3,C5H9NO3,0,False
C00437_[cyt],C00437,cyt,N-Acetylornithine,16543,C7H14N2O3,C7H14N2O3,0,False
C00438_[cyt],C00438,cyt,N-Carbamoyl-L-aspartate,15859,C5H8N2O5,C5H6N2O5,-2,False
C00440_[cyt],C00440,cyt,5-Methyltetrahydrofolate,15641,C20H25N7O6,C20H23N7O6,-2,False
C00441_[cyt],C00441,cyt,L-Aspartate 4-semialdehyde,18051,C4H7NO3,C4H7NO3,0,False
C00445_[cyt],C00445,cyt,"5,10-Methenyltetrahydrofolate",15638,C20H22N7O6,C20H20N7O6,-1,False
C00447_[cyt],C00447,cyt,"Sedoheptulose 1,7-bisphosphate",17969,C7H16O13P2,C7H12O13P2,-4,False
C00448_[cyt],C00448,cyt,"trans,trans-Farnesyl diphosphate",17407,C15H28O7P2,C15H26O7P2,-2,False
C00458_[cyt],C00458,cyt,dCTP,16311,C9H16N3O13P3,C9H13N3O13P3,-3,False
C00459_[cyt],C00459,cyt,dTTP,18077,C10H17N2O14P3,C10H14N2O14P3,-3,False
C00460_[cyt],C00460,cyt,dUTP,17625,C9H15N2O14P3,C9H12N2O14P3,-3,False
C00463_[cyt],C00463,cyt,Indole,16881,C8H7N,C8H7N,0,False
C00469_[cyt],C00469,cyt,Ethanol,16236,C2H6O,C2H6O,0,False
C00493_[cyt],C00493,cyt,Shikimate,16119,C7H10O5,C7H9O5,-1,False
C00498_[cyt],C00498,cyt,ADP-glucose,15751,C16H25N5O15P2,C16H23N5O15P2,-2,False
C00501_[cyt],C00501,cyt,CDP-glucose,35242,C15H25N3O16P2 ,-2,-,False
C00522_[cyt],C00522,cyt,(R)-Pantoate,14737,C6H12O4,C6H11O4,-1,False
C00536_[cyt],C00536,cyt,Triphosphate,39949,P3H5O10,H2O10P3,-3,False
C00544_[cyt],C00544,cyt,Homogentisate,44747,C8H8O4,C8H7O4,-1,False
C00546_[cyt],C00546,cyt,Methylglyoxal,17158,C3H4O2,C3H4O2,0,False
C00559_[cyt],C00559,cyt,Deoxyadenosine,17256,C10H13N5O3,C10H13N5O3,0,False
C00568_[cyt],C00568,cyt,4-Aminobenzoate,30753,C7H7NO2,C7H6NO2,-1,False
C00577_[cyt],C00577,cyt,D-Glyceraldehyde,17378,C3H6O3,C3H6O3,0,False
C00624_[cyt],C00624,cyt,N-Acetyl-L-glutamate,17533,C7H11NO5,C7H9NO5,-2,False
C00627_[cyt],C00627,cyt,Pyridoxine phosphate,28803,C8H12NO6P,C8H10NO6P,-2,False
C00631_[cyt],C00631,cyt,2-Phospho-D-glycerate,17835,C3H7O7P,C3H4O7P,-3,False
C00636_[cyt],C00636,cyt,D-Mannose 1-phosphate,35374,C6H13O9P,C6H11O9P,-2,False
C00641_DGDG_[cyt],C00641,cyt,"1,2-Diacyl-sn-glycerol_DGDG",17815,C5H6O5R2,C5H6O5R2,0,False
C00641_MGDG_[cyt],C00641,cyt,"1,2-Diacyl-sn-glycerol_MGDG",17815,C5H6O5R2,C5H6O5R2,0,False
C00641_SQDG_[cyt],C00641,cyt,"1,2-Diacyl-sn-glycerol_SQDG",17815,C5H6O5R2,C5H6O5R2,0,False
C00655_[cyt],C00655,cyt,Xanthosine 5'-phosphate,15652,C10H13N4O9P,C10H11N4O9P,-2,False
C00666_[cyt],C00666,cyt,"LL-2,6-Diaminoheptanedioate",16026,C7H14N2O4,C7H14N2O4,0,False
C00669_[cyt],C00669,cyt,gamma-L-Glutamyl-L-cysteine,17515,C8H14N2O5S,C8H13N2O5S,-1,False
C00671_[cyt],C00671,cyt,(S)-3-Methyl-2-oxopentanoic acid,15614,C6H10O3,C6H9O3,-1,False
C00680_[cyt],C00680,cyt,"meso-2,6-Diaminoheptanedioate",16488,C7H14N2O4,C7H14N2O4,0,False
C00688_[cyt],C00688,cyt,dTDP-4-dehydro-6-deoxy-L-mannose,15744,C16H24N2O15P2,C16H22N2O15P2,-2,False
C00692_[cyt],C00692,cyt,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate,16970,C28H43N5O23P2,C28H39N5O23P2,-4,False
C00704_[cyt],C00704,cyt,O2-,18421,O2,O2,-1,False
C00705_[cyt],C00705,cyt,dCDP,28846,C9H15N3O10P2,C9H13N3O10P2,-2,False
C00718_[cyt],C00718,cyt,Amylose,28102,C6H10O5,C6H10O5,0,False
C00750_[cyt],C00750,cyt,Spermine,15746,C10H26N4,C10H30N4,4,False
C00842_[cyt],C00842,cyt,dTDP-glucose,15700,C16H26N2O16P2,C16H24N2O16P2,-2,False
C00856_[cyt],C00856,cyt,DNA cytosine,16991,C9H14N3O7PR,-,-,True
C00857_[cyt],C00857,cyt,Deamino-NAD+,18304,C21H27N6O15P2,C21H24N6O15P2,-2,False
C00860_[cyt],C00860,cyt,L-Histidinol,16255,C6H11N3O,C6H12N3O,1,False
C00864_[cyt],C00864,cyt,Pantothenate,46905,C9H17NO5,C9H16NO5,-1,False
C00882_[cyt],C00882,cyt,Dephospho-CoA,15468,C21H35N7O13P2S,C21H33N7O13P2S,-2,False
C00885_[cyt],C00885,cyt,Isochorismate,17582,C10H10O6,C10H8O6,-2,False
C00900_[cyt],C00900,cyt,2-Acetolactate,16444,C5H8O4,C5H7O4,-1,False
C00921_[cyt],C00921,cyt,Dihydropteroate,4581,C14H14N6O3,C14H13N6O3,-1,False
